feature,importance,rank
PC8,0.18912500000000002,1
PC9,0.1374,2
PC2,0.07745,3
PC10,0.07295000000000001,4
PC12,0.057275,5
PC14,0.045775,6
PC5,0.034149999999999986,7
PC3,0.032325000000000007,8
PC16,0.022375,9
PC1,0.02082500000000001,10
PC7,0.018199999999999997,11
PC17,0.018025,12
PC4,0.017025,13
PC18,0.015324999999999995,14
PC11,0.014725000000000002,15
PC15,0.01375,16
PC6,0.011049999999999999,17
PC13,0.009099999999999999,18
